REGION;DEPARTEMENT;SOUS-PREFECTURE ;LOCALITE;LIEU DE VOTE;BUREAU DE VOTE;NOMBRE BUREAUX DE VOTE (2010);INSCRITS (2010);INSCRITS (2025);VOTANTS (2025);BULLETINS NULS (2025);SUFFRAGES EXPRIMES (2025);TAUX DE PARTICIPATION (2025);CANDIDAT 1;CANDIDAT 2;CANDIDAT 3
AGNEBY ;ABOISSO;AYAME;ADZOPE;EPP 1;1;670;212 264;154;129;4;125;;;;
AGNEBY ;;;AGBOVILLE;EPP 2;2;;;120;110;15;95;;;;
AGNEBY ;;;AKOUPE;EPP 3;3;;;;;;;;;;
BAFING;;;TOUBA;EPP 1;1;290;38 766;;;;;;;;
BAFING;;;KORO;EPP 2;2;;;;;;;;;;
BAFING;;;OUANINOU;EPP 3;3;;;;;;;;;;
BAS-SASSANDRA;;;GUEYO ;EPP 1;1;1 334;349 325;;;;;;;;
BAS-SASSANDRA;;;SAN-PEDRO;EPP 2;2;;;;;;;;;;
BAS-SASSANDRA;;;SASSANDRA;EPP 3;3;;;;;;;;;;
BAS-SASSANDRA;;;SOUBRE;EPP 4;4;;;;;;;;;;
BAS-SASSANDRA;;;TABOU;EPP 5;5;;;;;;;;;;
DENGUELE;;;MADINANI;EPP 1;1;356;78 374;;;;;;;;
DENGUELE;;;MINIGNAN;EPP 2;2;;;;;;;;;;
DENGUELE;;;ODIENNE;EPP 3;3;;;;;;;;;;
FROMAGER;;;GAGNOA;EPP 1;1;714;188 126;;;;;;;;
FROMAGER;;;OUME;EPP 2;2;;;;;;;;;;
HAUT-SASSANDRA;;;DALOA;EPP 1;1;1 133;293 198;;;;;;;;
HAUT-SASSANDRA;;;ISSIA;EPP 2;2;;;;;;;;;;
HAUT-SASSANDRA;;;VAVOUA;EPP 3;3;;;;;;;;;;
HAUT-SASSANDRA;;;ZOUKOUGBEU;EPP 4;4;;;;;;;;;;
MARAHOUE;;;KOUNAHIRI;EPP 1;1;713;181 962;;;;;;;;
MARAHOUE;;;ZUENOULA;EPP 2;2;;;;;;;;;;
MARAHOUE;;;BOUAFLE;EPP 3;3;;;;;;;;;;
MARAHOUE;;;SINFRA;EPP 4;4;;;;;;;;;;
LACS;;;DIDIEVI;EPP 1;1;697;219 758;;;;;;;;
LACS;;;TIEBISSOU;EPP 2;2;;;;;;;;;;
LACS;;;TOUMODI;EPP 3;3;;;;;;;;;;
LACS;;;YAMOUSSOUKRO;EPP 4;4;;;;;;;;;;
LAGUNES;;;ABOBO;EPP 1;1;4 679;1 754 050;;;;;;;;
LAGUNES;;;ADJAME;EPP 2;2;;;;;;;;;;
LAGUNES;;;ATTECOUBE;EPP 3;3;;;;;;;;;;
LAGUNES;;;COCODY;EPP 4;4;;;;;;;;;;
LAGUNES;;;KOUMASSI;EPP 5;5;;;;;;;;;;
LAGUNES;;;MARCORY;EPP 6;6;;;;;;;;;;
LAGUNES;;;PLATEAU;EPP 7;7;;;;;;;;;;
LAGUNES;;;PORT BOUET;EPP 8;8;;;;;;;;;;
LAGUNES;;;TREICHVILLE;EPP 9;9;;;;;;;;;;
LAGUNES;;;YOPOUGON;EPP 10;10;;;;;;;;;;
LAGUNES;;;ANYAMA;EPP 11;11;;;;;;;;;;
LAGUNES;;;BINGERVILLE;EPP 12;12;;;;;;;;;;
LAGUNES;;;SONGON;EPP 13;13;;;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;ALEPE;EPP 1;1;744;222 402;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;DABOU;EPP 2;2;;;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;GRAND-LAHOU;EPP 3;3;;;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;JACQUEVILLE;EPP 4;4;;;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;SIKENSI;EPP 5;5;;;;;;;;;;
LAGUNES (HORS DISTRICT ABIDJAN);;;TIASSALE;EPP 6;6;;;;;;;;;;
DIX-HUIT MONTAGNES;;;BANGOLO;EPP 1;1;1 164;310 018;;;;;;;;
DIX-HUIT MONTAGNES;;;BIANKOUMA;EPP 2;2;;;;;;;;;;
DIX-HUIT MONTAGNES;;;DANANE;EPP 3;3;;;;;;;;;;
DIX-HUIT MONTAGNES;;;KOUIBLY;EPP 4;4;;;;;;;;;;
DIX-HUIT MONTAGNES;;;MAN;EPP 5;5;;;;;;;;;;
DIX-HUIT MONTAGNES;;;ZOUAN-HOUNIEN;EPP 6;6;;;;;;;;;;
MOYEN-CAVALLY;;;BLOLEQUIN;EPP 1;1;524;141 624;;;;;;;;
MOYEN-CAVALLY;;;DUEKOUE;EPP 2;2;;;;;;;;;;
MOYEN-CAVALLY;;;GUIGLO;EPP 3;3;;;;;;;;;;
MOYEN-CAVALLY;;;TOULEPLEU;EPP 4;4;;;;;;;;;;
MOYEN-COMOE;;;ABENGOUROU;EPP 1;1;361;102 433;;;;;;;;
MOYEN-COMOE;;;AGNIBILEKROU;EPP 2;2;;;;;;;;;;
MOYEN-COMOE;;;BETTIE;EPP 3;3;;;;;;;;;;
NZI-COMOE;;;BOCANDA;EPP 1;1;987;265 000;;;;;;;;
NZI-COMOE;;;BONGOUANOU;EPP 2;2;;;;;;;;;;
NZI-COMOE;;;DAOUKRO;EPP 3;3;;;;;;;;;;
NZI-COMOE;;;DIMBOKRO;EPP 4;4;;;;;;;;;;
NZI-COMOE;;;M'BAHIAKRO;EPP 5;5;;;;;;;;;;
NZI-COMOE;;;PRIKRO;EPP 6;6;;;;;;;;;;
SAVANES;;;BOUNDIALI;EPP 1;1;1 348;377 640;;;;;;;;
